i,is_centroid,x,y
1,True,220839.8958,632216.2776999999
2,True,220916.36049999998,632004.1671
3,True,221104.105,631920.4769
4,True,220758.13525082252,631592.42136951
5,True,220774.26888793014,631927.9196597378
6,True,220534.185,631870.5079
7,True,220538.1361,632147.4958
8,True,220474.08239999998,632420.4856
9,True,220680.08149999997,632464.4165
10,True,220964.1492,632320.525
